customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
RB50392,Washington,F,Master,7936,0,1000,0,Personal Auto,Four-Door Car,2
QZ44356,Arizona,F,Bachelor,6979,0,94,0,Personal Auto,Four-Door Car,1131
AI49188,Nevada,F,Bachelor,12887,48767,108,0,Personal Auto,Two-Door Car,566
WW63253,California,M,Bachelor,7645,0,106,0,Corporate Auto,SUV,529
GA49547,Washington,M,High School or Below,5363,36357,68,0,Personal Auto,Four-Door Car,17
OC83172,Oregon,F,Bachelor,8256,62902,69,0,Personal Auto,Two-Door Car,159
XZ87318,Oregon,F,College,5380,55350,67,0,Corporate Auto,Four-Door Car,321
CF85061,Arizona,M,Master,7216,0,101,0,Corporate Auto,Four-Door Car,363
DY87989,Oregon,M,Bachelor,24127,14072,71,0,Corporate Auto,Four-Door Car,511
BQ94931,Oregon,F,College,7388,28812,93,0,Special Auto,Four-Door Car,425
SX51350,California,M,College,4738,0,67,0,Personal Auto,Four-Door Car,482
VQ65197,California,F,College,8197,0,110,0,Personal Auto,SUV,528
DP39365,California,F,Master,8798,77026,110,2,Corporate Auto,Four-Door Car,472
SJ95423,Arizona,F,High School or Below,8819,99845,110,1,Corporate Auto,SUV,528
IL66569,California,F,College,5384,83689,70,2,Corporate Auto,Four-Door Car,307
BW63560,Oregon,F,Bachelor,7463,24599,64,1,Corporate Auto,Four-Door Car,42
FV94802,Nevada,F,High School or Below,2566,25049,67,0,Personal Auto,Two-Door Car,454
OE15005,California,F,College,3945,28855,101,0,Personal Auto,SUV,647
WC83389,Oregon,F,College,5710,51148,72,0,Personal Auto,Four-Door Car,308
FL50705,California,F,High School or Below,8162,66140,101,0,Corporate Auto,Four-Door Car,484
ZK25313,Oregon,F,High School or Below,2872,57749,74,0,Personal Auto,Two-Door Car,355
QK46697,Washington,M,Bachelor,6177,61040,79,1,Personal Auto,Two-Door Car,20
YH23384,Arizona,F,Bachelor,24127,14072,71,0,Personal Auto,Four-Door Car,511
TZ98966,Nevada,F,Bachelor,2450,0,73,3,Corporate Auto,Four-Door Car,554
HM55802,California,F,Bachelor,2392,17870,61,0,Corporate Auto,Four-Door Car,439
FS42516,Oregon,F,College,5802,97541,72,0,Personal Auto,Four-Door Car,389
US89481,California,F,Bachelor,3946,0,111,0,Personal Auto,Four-Door Car,799
HS14476,Washington,M,College,9162,29723,80,0,Personal Auto,Four-Door Car,20
GE62437,Arizona,F,College,12902,86584,111,2,Personal Auto,Four-Door Car,532
EJ77678,Oregon,F,Master,3235,75690,80,1,Personal Auto,Four-Door Car,384
SV85652,Arizona,F,College,2454,23158,63,1,Personal Auto,Four-Door Car,322
UL64533,Nevada,F,High School or Below,18975,65999,237,0,Corporate Auto,Luxury,615
PF41800,California,F,Bachelor,4715,0,65,0,Personal Auto,Four-Door Car,308
HD95276,Washington,F,College,4737,0,130,0,Personal Auto,SUV,23
SK67821,Oregon,F,Bachelor,4932,37260,62,0,Corporate Auto,Four-Door Car,15
YV55495,Arizona,F,High School or Below,5744,68987,71,0,Personal Auto,Four-Door Car,204
KY38074,California,F,Bachelor,13891,42305,117,0,Personal Auto,Four-Door Car,561
DM79012,Oregon,F,Master,7380,65706,91,0,Personal Auto,Four-Door Car,436
CM61827,Oregon,F,Bachelor,3090,0,90,0,Personal Auto,Two-Door Car,648
WC35801,Arizona,F,High School or Below,2521,53243,66,2,Personal Auto,Four-Door Car,157
QG25316,Nevada,F,High School or Below,2652,0,70,1,Corporate Auto,Two-Door Car,484
MB98372,Oregon,F,College,2771,50071,71,0,Corporate Auto,Two-Door Car,18
IL19217,California,F,Bachelor,3939,60021,99,0,Personal Auto,Four-Door Car,882
SR38658,Arizona,F,High School or Below,12231,43244,103,0,Personal Auto,Luxury,494
YD87931,Washington,M,Doctor,4951,46896,35354,1,Personal Auto,Four-Door Car,31
HG65722,Oregon,F,Doctor,12819,10105,172,3,Personal Auto,SUV,0
BU27331,Arizona,F,Bachelor,4468,0,73,3,Personal Auto,Four-Door Car,579
XM45289,Oregon,F,High School or Below,5514,23218,71,0,Personal Auto,Two-Door Car,447
KP34198,California,F,Bachelor,3343,0,92,0,Corporate Auto,Four-Door Car,529
SH90947,Arizona,F,High School or Below,2294,0,62,0,Personal Auto,Four-Door Car,313
WE95729,Oregon,F,College,36707,24804,104,0,Personal Auto,SUV,593
PY51963,California,F,Bachelor,33473,33190,106,0,Corporate Auto,SUV,508
RB69909,Nevada,F,High School or Below,7983,36014,69,3,Special Auto,Four-Door Car,173
NW21079,Washington,F,Master,4879,67163,61,2,Personal Auto,Two-Door Car,33
FR46645,California,F,Bachelor,4293,16701,113,0,Personal Auto,Four-Door Car,831
SY17488,Arizona,F,College,7164,46623,91,0,Corporate Auto,Four-Door Car,436
AP67935,California,F,College,7619,64749,64,0,Special Auto,Four-Door Car,302
FS37417,Arizona,F,High School or Below,3958,0,101,0,Personal Auto,SUV,484
ML29312,Oregon,F,High School or Below,4499,16969,124,2,Personal Auto,SUV,704
UB61619,Oregon,F,Master,4059,11621,108,0,Personal Auto,Four-Door Car,518
CD86811,Arizona,F,Bachelor,4458,17622,65,1,Personal Auto,Four-Door Car,312
RU83859,California,F,Bachelor,8110,11489,105,0,Personal Auto,Two-Door Car,504
FG63582,Oregon,F,Bachelor,3339,0,94,0,Personal Auto,Two-Door Car,863
NN71951,California,F,High School or Below,24261,66525,100,0,Personal Auto,SUV,104
WB37082,Arizona,F,Bachelor,6613,0,63,0,Personal Auto,Four-Door Car,676
SM52139,Washington,F,College,2930,33663,73,0,Personal Auto,Four-Door Car,350
FL82372,Oregon,F,College,8672,22547,112,0,Corporate Auto,SUV,537
DP45816,Arizona,F,High School or Below,11638,61486,97,0,Personal Auto,Two-Door Car,465
GW33762,Oregon,F,Bachelor,6846,0,95,0,Personal Auto,Two-Door Car,456
RZ33670,California,F,College,11727,29879,102,0,Personal Auto,Four-Door Car,500
PY70169,Oregon,F,High School or Below,22643,93011,113,0,Personal Auto,SUV,281
MO91628,Oregon,F,Master,2614,65186,65,0,Personal Auto,Two-Door Car,5
HW87852,Oregon,F,Master,2451,26840,64,2,Personal Auto,Four-Door Car,307
HB20453,Oregon,F,Bachelor,6781,0,104,1,Personal Auto,Luxury,982
BN87372,Oregon,F,Bachelor,4974,75644,65,3,Personal Auto,Two-Door Car,467
YX23800,Oregon,F,Bachelor,8591,38984,73,0,Personal Auto,Four-Door Car,350
